Parl,PCT
E14000702,E16000001
E14000774,E16000001
E14000860,E16000001
E14000994,E16000001
E14000657,E16000002
E14000751,E16000002
E14000900,E16000002
E14000770,E16000003
E14000896,E16000003
E14000551,E16000004
E14000604,E16000004
E14000788,E16000004
E14000872,E16000004
E14000690,E16000005
E14000696,E16000005
E14000718,E16000005
E14000636,E16000006
E14000703,E16000006
E14000741,E16000006
E14000737,E16000007
E14000906,E16000007
E14001007,E16000007
E14000687,E16000008
E14000691,E16000008
E14000692,E16000008
E14000540,E16000009
E14000657,E16000009
E14000639,E16000010
E14000720,E16000010
E14000721,E16000010
E14000555,E16000011
E14000882,E16000011
E14000679,E16000012
E14001032,E16000012
E14000752,E16000013
E14001002,E16000013
E14000743,E16000015
E14000847,E16000015
E14000608,E16000016
E14000821,E16000016
E14000822,E16000016
E14000831,E16000017
E14000832,E16000017
E14000833,E16000017
E14000853,E16000018
E14001006,E16000018
E14000733,E16000019
E14000970,E16000020
E14000971,E16000020
E14000596,E16000021
E14000643,E16000021
E14000914,E16000021
E14000865,E16000022
E14000866,E16000022
E14000867,E16000022
E14000546,E16000023
E14000829,E16000023
E14000879,E16000024
E14000880,E16000024
E14000950,E16000024
E14000571,E16000025
E14000911,E16000025
E14001054,E16000025
E14000627,E16000026
E14000661,E16000026
E14000738,E16000026
E14000969,E16000026
E14000883,E16000027
E14000884,E16000027
E14000547,E16000028
E14000846,E16000028
E14000800,E16000029
E14000801,E16000029
E14000629,E16000030
E14000726,E16000030
E14000903,E16000031
E14000904,E16000031
E14001028,E16000031
E14000580,E16000032
E14000785,E16000032
E14000805,E16000032
E14001039,E16000032
E14000572,E16000033
E14000573,E16000033
E14000674,E16000035
E14000675,E16000035
E14000676,E16000035
E14000593,E16000036
E14000701,E16000036
E14001017,E16000037
E14001018,E16000037
E14000708,E16000038
E14000775,E16000038
E14000963,E16000038
E14000537,E16000039
E14000870,E16000039
E14000871,E16000039
E14000614,E16000040
E14000723,E16000040
E14000658,E16000041
E14000915,E16000041
E14000541,E16000042
E14000542,E16000042
E14000876,E16000042
E14001028,E16000042
E14000611,E16000043
E14000612,E16000043
E14000851,E16000044
E14000947,E16000044
E14001015,E16000044
E14000591,E16000045
E14000592,E16000045
E14000727,E16000045
E14000731,E16000046
E14000732,E16000046
E14000906,E16000046
E14000727,E16000047
E14000750,E16000047
E14000763,E16000048
E14000764,E16000048
E14000654,E16000049
E14000655,E16000049
E14000656,E16000049
E14000574,E16000050
E14000709,E16000050
E14000765,E16000050
E14000765,E16000051
E14000944,E16000051
E14000754,E16000052
E14000982,E16000052
E14001020,E16000052
E14000819,E16000053
E14000820,E16000053
E14000901,E16000054
E14000955,E16000054
E14000956,E16000054
E14000626,E16000055
E14000711,E16000055
E14000898,E16000055
E14000629,E16000056
E14000768,E16000056
E14000639,E16000057
E14001036,E16000057
E14000673,E16000058
E14000978,E16000058
E14001008,E16000058
E14000553,E16000059
E14000615,E16000059
E14000673,E16000059
